"","IP","X_","audio","condition","experimentName","item","response1","response1_time","sound1","time","trialnumber","userCode","userFileName","view"
"1","62.176.19.146",1418391839438,"undefined","","HSElist3Dec12","","",NA,NA,2014-12-12 05:43:59,1,"WOQ1",1,"undefined"
"2","62.176.19.146",1418391840372,"undefined","","HSElist3Dec12","","",NA,NA,2014-12-12 05:44:00,2,"WOQ1",1,"undefined"
"3","87.245.155.220",1418396198530,"undefined","","HSElist3Dec12","","",NA,NA,2014-12-12 06:56:33,1,"FFT2",2,"undefined"
"4","87.245.155.220",1418396224164,"undefined","","HSElist3Dec12","","",NA,NA,2014-12-12 06:56:59,2,"FFT2",2,"undefined"
"5","87.245.155.220",1418396236298,"undefined","","HSElist3Dec12","","",NA,1,2014-12-12 06:57:11,3,"FFT2",2,"undefined"
"6","87.245.155.220",1418396246797,"undefined","","HSElist3Dec12","","Ошибка!",4967,1,2014-12-12 06:57:22,4,"FFT2",2,"undefined"
"7","87.245.155.220",1418396257040,"undefined","","HSElist3Dec12","","Ошибка!",4521,1,2014-12-12 06:57:32,5,"FFT2",2,"undefined"
"8","87.245.155.220",1418396269669,"undefined","","HSElist3Dec12","","Ошибка!",8809,1,2014-12-12 06:57:45,6,"FFT2",2,"undefined"
"9","87.245.155.220",1418396280093,"undefined","","HSElist3Dec12","","Ошибка!",4121,1,2014-12-12 06:58:07,7,"FFT2",2,"undefined"
"10","87.245.155.220",1418396294627,"1_3_fill","M_Pauc","HSElist3Dec12","fill","",NA,1,2014-12-12 06:58:10,9,"FFT2",2,"stimulus.ejs"
"11","87.245.155.220",1418396308073,"2_3_exp","M_Pl","HSElist3Dec12","exp","Ошибка!",3703,1,2014-12-12 06:58:23,10,"FFT2",2,"stimulus.ejs"
"12","87.245.155.220",1418396329384,"3_3_exp","NM_Sg","HSElist3Dec12","exp","Ошибка!",7175,1,2014-12-12 06:58:44,11,"FFT2",2,"stimulus.ejs"
"13","87.245.155.220",1418396340607,"4_3_fill","M_Pl","HSElist3Dec12","fill","Ошибка!",8568,1,2014-12-12 06:58:56,12,"FFT2",2,"stimulus.ejs"
"14","87.245.155.220",1418396356537,"5_3_exp","M_Sg","HSElist3Dec12","exp","",NA,1,2014-12-12 06:59:12,13,"FFT2",2,"stimulus.ejs"
"15","87.245.155.220",1418396398844,"undefined","","HSElist3Dec12","","",NA,NA,2014-12-12 06:59:54,1,"NPE3",3,"undefined"
"16","87.245.155.220",1418396400812,"undefined","","HSElist3Dec12","","",NA,NA,2014-12-12 06:59:56,2,"NPE3",3,"undefined"
"17","87.245.155.220",1418396410947,"undefined","","HSElist3Dec12","","",NA,1,2014-12-12 07:00:06,3,"NPE3",3,"undefined"
"18","87.245.155.220",1418396420909,"undefined","","HSElist3Dec12","","Ошибка!",3597,1,2014-12-12 07:00:16,4,"NPE3",3,"undefined"
"19","87.245.155.220",1418396430639,"undefined","","HSElist3Dec12","","Ошибка!",4865,1,2014-12-12 07:00:26,5,"NPE3",3,"undefined"
"20","87.245.155.220",1418396442762,"undefined","","HSElist3Dec12","","Ошибка!",8106,1,2014-12-12 07:00:38,6,"NPE3",3,"undefined"
"21","87.245.155.220",1418396452757,"undefined","","HSElist3Dec12","","Ошибка!",3367,1,2014-12-12 07:00:48,7,"NPE3",3,"undefined"
"22","87.245.155.220",1418396465769,"1_3_fill","M_Pauc","HSElist3Dec12","fill","",NA,1,2014-12-12 07:01:01,9,"NPE3",3,"stimulus.ejs"
"23","87.245.155.220",1418396477682,"2_3_exp","M_Pl","HSElist3Dec12","exp","",NA,1,2014-12-12 07:01:13,10,"NPE3",3,"stimulus.ejs"
"24","87.245.155.220",1418396489426,"3_3_exp","NM_Sg","HSElist3Dec12","exp","Ошибка!",5473,1,2014-12-12 07:01:24,11,"NPE3",3,"stimulus.ejs"
"25","87.245.155.220",1418396499581,"4_3_fill","M_Pl","HSElist3Dec12","fill","Ошибка!",5477,1,2014-12-12 07:01:35,12,"NPE3",3,"stimulus.ejs"
"26","87.245.155.220",1418396513865,"5_3_exp","M_Sg","HSElist3Dec12","exp","Ошибка!",6293,1,2014-12-12 07:01:49,13,"NPE3",3,"stimulus.ejs"
"27","87.245.155.220",1418396524528,"6_3_fill","NM_Pl","HSElist3Dec12","fill","Ошибка!",5044,1,2014-12-12 07:02:00,14,"NPE3",3,"stimulus.ejs"
"28","87.245.155.220",1418396535257,"7_3_fill","NM_Pauc","HSElist3Dec12","fill","Ошибка!",4575,1,2014-12-12 07:02:10,15,"NPE3",3,"stimulus.ejs"
"29","87.245.155.220",1418396546308,"8_3_exp","NM_Pl","HSElist3Dec12","exp","Ошибка!",4491,1,2014-12-12 07:02:22,16,"NPE3",3,"stimulus.ejs"
"30","87.245.155.220",1418394278529,"undefined","","HSElist3Dec12","","",NA,NA,2014-12-12 07:24:21,1,"IZI4",4,"undefined"
"31","87.245.155.220",1418394281955,"undefined","","HSElist3Dec12","","",NA,NA,2014-12-12 07:24:23,2,"IZI4",4,"undefined"
"32","87.245.155.220",1418394294043,"undefined","","HSElist3Dec12","","",NA,1,2014-12-12 07:24:35,3,"IZI4",4,"undefined"
"33","87.245.155.220",1418394305936,"undefined","","HSElist3Dec12","","",NA,1,2014-12-12 07:24:47,4,"IZI4",4,"undefined"
"34","85.65.49.121",1418409530143,"undefined","","HSElist3Dec12","","",NA,NA,2014-12-12 10:38:51,1,"MSK5",5,"undefined"
"35","85.65.49.121",1418409595492,"undefined","","HSElist3Dec12","","",NA,NA,2014-12-12 10:39:56,2,"MSK5",5,"undefined"
"36","85.65.49.121",1418409610462,"undefined","","HSElist3Dec12","","",NA,1,2014-12-12 10:40:11,3,"MSK5",5,"undefined"
"37","85.65.49.121",1418409623932,"undefined","","HSElist3Dec12","","",NA,1,2014-12-12 10:40:25,4,"MSK5",5,"undefined"
"38","85.65.49.121",1418409635179,"undefined","","HSElist3Dec12","","",NA,1,2014-12-12 10:40:36,5,"MSK5",5,"undefined"
"39","85.65.49.121",1418409649774,"undefined","","HSElist3Dec12","","Ошибка!",8936,1,2014-12-12 10:40:51,6,"MSK5",5,"undefined"
"40","85.65.49.121",1418409659762,"undefined","","HSElist3Dec12","","",NA,1,2014-12-12 10:41:01,7,"MSK5",5,"undefined"
"41","85.65.49.121",1418409674783,"1_3_fill","M_Pauc","HSElist3Dec12","fill","",NA,1,2014-12-12 10:41:16,9,"MSK5",5,"stimulus.ejs"
"42","85.65.49.121",1418409685693,"2_3_exp","M_Pl","HSElist3Dec12","exp","Ошибка!",8267,1,2014-12-12 10:41:27,10,"MSK5",5,"stimulus.ejs"
"43","85.65.49.121",1418409697932,"3_3_exp","NM_Sg","HSElist3Dec12","exp","Ошибка!",6641,1,2014-12-12 10:41:39,11,"MSK5",5,"stimulus.ejs"
"44","85.65.49.121",1418409727188,"undefined","","HSElist3Dec12","","",NA,NA,2014-12-12 10:42:08,1,"ANJ6",6,"undefined"
"45","85.65.49.121",1418409728215,"undefined","","HSElist3Dec12","","",NA,NA,2014-12-12 10:42:09,2,"ANJ6",6,"undefined"
"46","85.65.49.121",1418409737323,"undefined","","HSElist3Dec12","","",NA,1,2014-12-12 10:42:18,3,"ANJ6",6,"undefined"
"47","85.65.49.121",1418409748299,"undefined","","HSElist3Dec12","","Ошибка!",7299,1,2014-12-12 10:42:29,4,"ANJ6",6,"undefined"
"48","85.65.49.121",1418409757521,"undefined","","HSElist3Dec12","","",NA,1,2014-12-12 10:42:38,5,"ANJ6",6,"undefined"
"49","85.65.49.121",1418409770132,"undefined","","HSElist3Dec12","","Ошибка!",8497,1,2014-12-12 10:42:51,6,"ANJ6",6,"undefined"
"50","85.65.49.121",1418409809146,"undefined","","HSElist3Dec12","","Ошибка!",5157,1,2014-12-12 10:43:30,7,"ANJ6",6,"undefined"
